valid,degree,scalar_time,avx2_time,speedup
1,127,0.000026,0.000003,8.667
1,127,0.000026,0.000004,6.500
1,127,0.000045,0.000006,7.500
1,127,0.000040,0.000006,6.667
1,127,0.000045,0.000006,7.500
1,127,0.000030,0.000004,7.500
1,127,0.000030,0.000005,6.000
1,127,0.000030,0.000005,6.000
1,127,0.000030,0.000004,7.500
1,127,0.000030,0.000004,7.500
1,127,0.000045,0.000006,7.500
1,127,0.000045,0.000006,7.500
1,127,0.000030,0.000005,6.000
1,127,0.000030,0.000005,6.000
1,127,0.000030,0.000004,7.500
1,127,0.000030,0.000004,7.500
1,127,0.000030,0.000004,7.500
1,127,0.000030,0.000004,7.500
1,127,0.000030,0.000004,7.500
1,127,0.000030,0.000004,7.500
1,127,0.000030,0.000004,7.500
1,127,0.000030,0.000004,7.500
1,127,0.000030,0.000005,6.000
1,127,0.000030,0.000004,7.500
1,127,0.000030,0.000005,6.000
1,127,0.000030,0.000005,6.000
1,127,0.000030,0.000004,7.500
1,127,0.000030,0.000005,6.000
1,127,0.000030,0.000004,7.500
1,127,0.000030,0.000004,7.500
1,255,0.000115,0.000015,7.667
1,255,0.000115,0.000015,7.667
1,255,0.000115,0.000015,7.667
1,255,0.000115,0.000016,7.188
1,255,0.000115,0.000015,7.667
1,255,0.000115,0.000015,7.667
1,255,0.000115,0.000015,7.667
1,255,0.000115,0.000015,7.667
1,255,0.000115,0.000015,7.667
1,255,0.000115,0.000015,7.667
1,255,0.000115,0.000015,7.667
1,255,0.000115,0.000015,7.667
1,255,0.000115,0.000015,7.667
1,255,0.000115,0.000015,7.667
1,255,0.000115,0.000015,7.667
1,255,0.000115,0.000015,7.667
1,255,0.000115,0.000015,7.667
1,255,0.000115,0.000015,7.667
1,255,0.000115,0.000015,7.667
1,255,0.000115,0.000015,7.667
1,255,0.000115,0.000015,7.667
1,255,0.000115,0.000015,7.667
1,255,0.000115,0.000015,7.667
1,255,0.000115,0.000015,7.667
1,255,0.000115,0.000015,7.667
1,255,0.000115,0.000015,7.667
1,255,0.000115,0.000015,7.667
1,255,0.000115,0.000015,7.667
1,255,0.000115,0.000015,7.667
1,255,0.000153,0.000021,7.286
1,511,0.000601,0.000079,7.608
1,511,0.000601,0.000079,7.608
1,511,0.000601,0.000079,7.608
1,511,0.000601,0.000079,7.608
1,511,0.000600,0.000079,7.595
1,511,0.000600,0.000079,7.595
1,511,0.000600,0.000079,7.595
1,511,0.000600,0.000079,7.595
1,511,0.000601,0.000079,7.608
1,511,0.000600,0.000079,7.595
1,511,0.000600,0.000079,7.595
1,511,0.000600,0.000079,7.595
1,511,0.000601,0.000079,7.608
1,511,0.000600,0.000079,7.595
1,511,0.000600,0.000084,7.143
1,511,0.000600,0.000079,7.595
1,511,0.000600,0.000079,7.595
1,511,0.000600,0.000079,7.595
1,511,0.000600,0.000079,7.595
1,511,0.000601,0.000079,7.608
1,511,0.000600,0.000079,7.595
1,511,0.000600,0.000082,7.317
1,511,0.000600,0.000079,7.595
1,511,0.000600,0.000079,7.595
1,511,0.000600,0.000079,7.595
1,511,0.000601,0.000079,7.608
1,511,0.000601,0.000079,7.608
1,511,0.000600,0.000079,7.595
1,511,0.000600,0.000079,7.595
1,511,0.000600,0.000079,7.595
1,1023,0.002369,0.000331,7.157
1,1023,0.002369,0.000331,7.157
1,1023,0.002369,0.000331,7.157
1,1023,0.002381,0.000331,7.193
1,1023,0.002381,0.000331,7.193
1,1023,0.002383,0.000331,7.199
1,1023,0.002383,0.000331,7.199
1,1023,0.002383,0.000331,7.199
1,1023,0.002371,0.000331,7.163
1,1023,0.002384,0.000336,7.095
1,1023,0.002380,0.000331,7.190
1,1023,0.002368,0.000331,7.154
1,1023,0.002369,0.000331,7.157
1,1023,0.002382,0.000331,7.196
1,1023,0.002370,0.000331,7.160
1,1023,0.002370,0.000331,7.160
1,1023,0.002370,0.000337,7.033
1,1023,0.002370,0.000331,7.160
1,1023,0.002387,0.000331,7.211
1,1023,0.002389,0.000331,7.218
1,1023,0.000661,0.000090,7.344
1,1023,0.000667,0.000093,7.172
1,1023,0.000735,0.000103,7.136
1,1023,0.002369,0.000332,7.136
1,1023,0.002370,0.000331,7.160
1,1023,0.002371,0.000331,7.163
1,1023,0.002369,0.000331,7.157
1,1023,0.002370,0.000331,7.160
1,1023,0.002369,0.000332,7.136
1,1023,0.002369,0.000331,7.157
1,2047,0.008517,0.000907,9.390
1,2047,0.004996,0.000694,7.199
1,2047,0.004046,0.000562,7.199
1,2047,0.003397,0.000472,7.197
1,2047,0.003393,0.000472,7.189
1,2047,0.003399,0.000472,7.201
1,2047,0.003396,0.000472,7.195
1,2047,0.003398,0.000472,7.199
1,2047,0.003397,0.000472,7.197
1,2047,0.003393,0.000477,7.113
1,2047,0.003399,0.000472,7.201
1,2047,0.003392,0.000472,7.186
1,2047,0.003400,0.000472,7.203
1,2047,0.003396,0.000472,7.195
1,2047,0.003396,0.000472,7.195
1,2047,0.003400,0.000472,7.203
1,2047,0.003393,0.000477,7.113
1,2047,0.003400,0.000472,7.203
1,2047,0.002769,0.000379,7.306
1,2047,0.009456,0.001312,7.207
1,2047,0.008214,0.000908,9.046
1,2047,0.004490,0.000563,7.975
1,2047,0.003392,0.000472,7.186
1,2047,0.003396,0.000472,7.195
1,2047,0.003393,0.000473,7.173
1,2047,0.003401,0.000472,7.206
1,2047,0.003394,0.000472,7.191
1,2047,0.003397,0.000472,7.197
1,2047,0.003392,0.000475,7.141
1,2047,0.003415,0.000472,7.235
1,4095,0.011574,0.001400,8.267
1,4095,0.009563,0.001326,7.212
1,4095,0.009566,0.001318,7.258
1,4095,0.009543,0.001317,7.246
1,4095,0.009513,0.001358,7.005
1,4095,0.009583,0.001318,7.271
1,4095,0.009565,0.001325,7.219
1,4095,0.009548,0.001326,7.201
1,4095,0.012952,0.001436,9.019
1,4095,0.009484,0.001325,7.158
1,4095,0.009530,0.001326,7.187
1,4095,0.018069,0.001693,10.673
1,4095,0.009521,0.001317,7.229
1,4095,0.009510,0.001317,7.221
1,4095,0.009505,0.001317,7.217
1,4095,0.009550,0.001325,7.208
1,4095,0.009551,0.001325,7.208
1,4095,0.010930,0.001317,8.299
1,4095,0.009565,0.001317,7.263
1,4095,0.009509,0.001317,7.220
1,4095,0.009536,0.001325,7.197
1,4095,0.009512,0.001325,7.179
1,4095,0.009554,0.001326,7.205
1,4095,0.010971,0.001317,8.330
1,4095,0.009535,0.001317,7.240
1,4095,0.009505,0.001318,7.212
1,4095,0.009510,0.001326,7.172
1,4095,0.009529,0.001325,7.192
1,4095,0.009772,0.001325,7.375
1,4095,0.009526,0.001325,7.189
1,8191,0.038073,0.005270,7.224
1,8191,0.037892,0.005342,7.093
1,8191,0.038041,0.005270,7.218
1,8191,0.037832,0.005272,7.176
1,8191,0.037763,0.005272,7.163
1,8191,0.038132,0.005270,7.236
1,8191,0.037780,0.005292,7.139
1,8191,0.037945,0.005292,7.170
1,8191,0.037889,0.005294,7.157
1,8191,0.037718,0.005337,7.067
1,8191,0.037714,0.005271,7.155
1,8191,0.037791,0.005270,7.171
1,8191,0.038117,0.005270,7.233
1,8191,0.038064,0.005272,7.220
1,8191,0.037794,0.005313,7.113
1,8191,0.037816,0.005271,7.174
1,8191,0.037747,0.005269,7.164
1,8191,0.037769,0.005313,7.109
1,8191,0.038067,0.005305,7.176
1,8191,0.037832,0.005313,7.121
1,8191,0.037760,0.005269,7.166
1,8191,0.038037,0.005269,7.219
1,8191,0.037750,0.005270,7.163
1,8191,0.038264,0.005271,7.259
1,8191,0.037968,0.005325,7.130
1,8191,0.037773,0.005277,7.158
1,8191,0.038160,0.005320,7.173
1,8191,0.038046,0.005301,7.177
1,8191,0.037791,0.005277,7.161
1,8191,0.037755,0.005272,7.161
1,16383,0.150992,0.021142,7.142
1,16383,0.151280,0.021040,7.190
1,16383,0.151139,0.021041,7.183
1,16383,0.150976,0.021065,7.167
1,16383,0.151162,0.021073,7.173
1,16383,0.151141,0.021065,7.175
1,16383,0.151558,0.021380,7.089
1,16383,0.152890,0.021220,7.205
1,16383,0.151969,0.021111,7.199
1,16383,0.150982,0.021064,7.168
1,16383,0.151308,0.021192,7.140
1,16383,0.150983,0.021045,7.174
1,16383,0.151136,0.021083,7.169
1,16383,0.151851,0.021091,7.200
1,16383,0.151509,0.021065,7.192
1,16383,0.151286,0.021084,7.175
1,16383,0.151234,0.021088,7.172
1,16383,0.151177,0.021066,7.176
1,16383,0.152423,0.021100,7.224
1,16383,0.151447,0.021078,7.185
1,16383,0.151336,0.021043,7.192
1,16383,0.151070,0.021040,7.180
1,16383,0.151044,0.021064,7.171
1,16383,0.151000,0.021074,7.165
1,32767,0.604982,0.084520,7.158
1,32767,0.605487,0.084104,7.199
1,32767,0.604831,0.084713,7.140
1,32767,0.605950,0.084908,7.137
1,32767,0.604186,0.084256,7.171
1,32767,0.603673,0.084453,7.148
1,32767,0.607095,0.084172,7.213
1,32767,0.603829,0.084392,7.155
1,32767,0.606103,0.084262,7.193
1,32767,0.605627,0.084163,7.196
1,32767,0.605665,0.084693,7.151
1,32767,0.606636,0.084395,7.188
1,65535,2.422972,0.337948,7.170
1,65535,2.420167,0.337214,7.177
1,65535,2.422124,0.337286,7.181
1,65535,2.423500,0.337385,7.183
1,65535,2.419594,0.337594,7.167
1,65535,2.424352,0.336924,7.196
1,131071,9.686520,1.352481,7.162
1,131071,9.688820,1.351458,7.169
1,131071,9.690242,1.354333,7.155
